GEO_ID,GEO_ID10,LABEL,HC01_VC03,HC02_VC03,HC03_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC04_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC04_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC23,HC02_VC23,HC03_VC23,HC04_VC23,HC01_VC26,HC02_VC26,HC03_VC26,HC04_VC26,HC01_VC27,HC02_VC27,HC03_VC27,HC04_VC27,HC01_VC28,HC02_VC28,HC03_VC28,HC04_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC04_VC29,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC04_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC04_VC37,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC04_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC04_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC04_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC04_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC04_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC04_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC04_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC04_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC04_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC04_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC04_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC69,HC02_VC69,HC03_VC69,HC04_VC69,HC01_VC70,HC02_VC70,HC03_VC70,HC04_VC70,HC01_VC71,HC02_VC71,HC03_VC71,HC04_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC04_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC04_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC04_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC104,HC02_VC104
1400000US42101000100,42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",3399,429,3399,1735,285,51,5.8,1664,296,49,5.8,52,82,1.5,2.3,0,10,0,0.7,43,24,1.3,0.7,29,3,0.9,0.1,261,133,7.7,3.8,1732,374,51,7.1,439,157,12.9,5,467,224,13.7,6.5,85,60,2.5,1.7,112,78,3.3,2.3,111,69,3.3,2,39,40,1.1,1.2,29,31,0.9,0.9,31.2,2.1,(X),(X),3275,398,96.4,2.3,3222,396,94.8,2.2,255,109,7.5,3.2,179,85,5.3,2.5,3275,398,3275,(X),1626,253,49.6,5.8,1649,297,50.4,5.8,179,85,179,(X),86,72,48,29,93,58,52,29,3399,429,3399,(X),3356,428,98.7,1.3,43,43,1.3,1.3,3356,428,98.7,1.3,2774,413,81.6,4.5,331,98,9.7,2.7,5,12,0.1,0.4,5,12,0.1,0.4,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,229,115,6.7,3.4,56,49,1.6,1.4,54,56,1.6,1.6,90,82,2.6,2.5,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,29,35,0.9,1,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,17,30,0.5,0.9,43,43,1.3,1.3,12,19,0.4,0.6,0,10,0,0.7,10,18,0.3,0.5,0,10,0,0.7,3399,429,3399,(X),2796,414,82.3,4.5,343,98,10.1,2.7,5,12,0.1,0.4,260,121,7.6,3.6,0,10,0,0.7,38,45,1.1,1.4,3399,429,3399,(X),127,81,3.7,2.4,0,10,0,0.7,47,47,1.4,1.4,19,33,0.6,0.9,61,54,1.8,1.6,3272,427,96.3,2.4,2664,415,78.4,5.5,331,98,9.7,2.7,5,12,0.1,0.4,229,115,6.7,3.4,0,10,0,0.7,0,10,0,0.7,43,43,1.3,1.3,21,35,0.6,1,22,26,0.6,0.8,2624,113
1400000US42101000200,42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",2215,381,2215,1066,218,48.1,5.5,1149,235,51.9,5.5,118,87,5.3,3.6,46,57,2.1,2.4,44,45,2,2,69,36,3.1,1.7,116,131,5.2,5.8,887,250,40,8.7,175,86,7.9,3.8,192,107,8.7,4.7,233,87,10.5,3.7,51,26,2.3,1.3,61,44,2.8,2,209,94,9.4,4.6,14,12,0.6,0.6,32.7,2,(X),(X),2007,308,90.6,4.6,1918,309,86.6,4.7,307,101,13.9,5.1,284,94,12.8,4.7,2007,308,2007,(X),996,198,49.6,6,1011,192,50.4,6,284,94,284,(X),101,59,35.6,15.1,183,67,64.4,15.1,2215,381,2215,(X),2194,375,99.1,1.3,21,30,0.9,1.3,2194,375,99.1,1.3,673,212,30.4,9.7,83,75,3.7,3.2,0,10,0,1.1,0,10,0,1.1,0,10,0,1.1,0,10,0,1.1,0,10,0,1.1,1420,369,64.1,10.1,45,45,2,2.1,1221,362,55.1,11.3,7,12,0.3,0.6,10,18,0.5,0.8,33,38,1.5,1.7,37,34,1.7,1.5,67,67,3,2.9,0,10,0,1.1,0,10,0,1.1,0,10,0,1.1,0,10,0,1.1,0,10,0,1.1,18,30,0.8,1.4,21,30,0.9,1.3,0,10,0,1.1,0,10,0,1.1,12,25,0.5,1.1,0,10,0,1.1,2215,381,2215,(X),685,211,30.9,9.4,83,75,3.7,3.2,9,15,0.4,0.7,1432,375,64.7,10.2,0,10,0,1.1,27,34,1.2,1.6,2215,381,2215,(X),33,36,1.5,1.7,0,10,0,1.1,27,34,1.2,1.6,6,12,0.3,0.5,0,10,0,1.1,2182,390,98.5,1.7,667,209,30.1,9.5,83,75,3.7,3.2,0,10,0,1.1,1420,369,64.1,10.1,0,10,0,1.1,0,10,0,1.1,12,25,0.5,1.1,0,10,0,1.1,12,25,0.5,1.1,1154,69
1400000US42101000300,42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",3398,431,3398,1687,306,49.6,8.5,1711,410,50.4,8.5,58,48,1.7,1.4,38,27,1.1,0.8,61,36,1.8,1.1,273,278,8,7.6,438,161,12.9,3.9,1084,198,31.9,5.9,436,121,12.8,3.5,217,64,6.4,2,109,65,3.2,1.9,185,90,5.4,2.7,160,71,4.7,2.2,147,75,4.3,2,192,74,5.7,2.4,30.9,1.5,(X),(X),3195,417,94,2,2917,310,85.8,8.5,609,139,17.9,4.2,499,105,14.7,3.3,3195,417,3195,(X),1570,302,49.1,9.3,1625,415,50.9,9.3,499,105,499,(X),181,76,36.3,11.3,318,74,63.7,11.3,3398,431,3398,(X),3290,429,96.8,1.9,108,65,3.2,1.9,3290,429,96.8,1.9,2628,362,77.3,5.1,215,78,6.3,2.4,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,392,148,11.5,4,147,99,4.3,2.9,149,72,4.4,2,0,10,0,0.7,21,34,0.6,1,66,66,1.9,1.9,0,10,0,0.7,9,16,0.3,0.5,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,55,67,1.6,1.9,108,65,3.2,1.9,2,4,0.1,0.1,8,13,0.2,0.4,62,59,1.8,1.7,13,19,0.4,0.6,3398,431,3398,(X),2723,361,80.1,4.7,244,77,7.2,2.4,35,32,1,0.9,454,169,13.4,4.5,0,10,0,0.7,64,69,1.9,1.9,3398,431,3398,(X),338,154,9.9,4.2,75,61,2.2,1.8,138,113,4.1,3.3,31,29,0.9,0.9,94,68,2.8,1.9,3060,394,90.1,4.2,2375,346,69.9,5.5,215,78,6.3,2.4,0,10,0,0.7,392,148,11.5,4,0,10,0,0.7,0,10,0,0.7,78,62,2.3,1.8,0,10,0,0.7,78,62,2.3,1.8,2001,43
1400000US42101000401,42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",2458,275,2458,1062,208,43.2,7.6,1396,258,56.8,7.6,77,75,3.1,2.8,40,64,1.6,2.5,0,10,0,1,9,16,0.4,0.6,103,72,4.2,3,1111,240,45.2,7.8,245,107,10,4.5,166,82,6.8,3.3,97,59,3.9,2.4,159,136,6.5,5.6,266,113,10.8,4.8,128,76,5.2,3,57,51,2.3,2.1,33,3.5,(X),(X),2341,224,95.2,5.2,2332,225,94.9,5.2,503,135,20.5,5.7,451,131,18.3,5.5,2341,224,2341,(X),1035,208,44.2,7.2,1306,194,55.8,7.2,451,131,451,(X),222,78,49.2,9.6,229,79,50.8,9.6,2458,275,2458,(X),2326,228,94.6,7.5,132,191,5.4,7.5,2326,228,94.6,7.5,1399,244,56.9,10,293,145,11.9,6,14,19,0.6,0.8,0,10,0,1,0,10,0,1,0,10,0,1,0,10,0,1,612,219,24.9,8.5,122,82,5,3.3,325,144,13.2,5.8,0,10,0,1,0,10,0,1,55,57,2.2,2.4,0,10,0,1,110,125,4.5,5,0,10,0,1,0,10,0,1,0,10,0,1,0,10,0,1,0,10,0,1,8,13,0.3,0.5,132,191,5.4,7.5,15,24,0.6,1,0,10,0,1,0,10,0,1,117,190,4.8,7.5,2458,275,2458,(X),1414,250,57.5,10.1,425,236,17.3,8.8,131,191,5.3,7.5,612,219,24.9,8.5,0,10,0,1,8,13,0.3,0.5,2458,275,2458,(X),80,53,3.3,2.1,41,42,1.7,1.7,5,12,0.2,0.5,0,10,0,1,34,28,1.4,1.2,2378,270,96.7,2.1,1343,228,54.6,9.6,288,145,11.7,5.9,3,8,0.1,0.3,612,219,24.9,8.5,0,10,0,1,0,10,0,1,132,191,5.4,7.5,0,10,0,1,132,191,5.4,7.5,2001,83
1400000US42101000402,42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",2892,276,2892,905,144,31.3,4.5,1987,245,68.7,4.5,6,35,0.2,1.2,0,10,0,0.9,0,10,0,0.9,31,30,1.1,1.1,154,87,5.3,3.1,648,210,22.4,6.7,183,75,6.3,2.6,279,124,9.6,4.1,160,75,5.5,2.7,231,117,8,4,390,138,13.5,4.5,506,198,17.5,6.5,304,123,10.5,4.2,59.6,3,(X),(X),2855,275,98.7,0.3,2838,276,98.1,1,1314,192,45.4,5.4,1200,209,41.5,5.9,2855,275,2855,(X),874,143,30.6,4.5,1981,244,69.4,4.5,1200,209,1200,(X),271,105,22.6,7.5,929,176,77.4,7.5,2892,276,2892,(X),2877,276,99.5,0.8,15,24,0.5,0.8,2877,276,99.5,0.8,2610,291,90.2,4.2,39,44,1.3,1.5,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,228,109,7.9,3.8,73,56,2.5,1.9,82,69,2.8,2.4,31,52,1.1,1.8,0,10,0,0.9,42,40,1.5,1.4,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,15,24,0.5,0.8,0,10,0,0.9,0,10,0,0.9,15,24,0.5,0.8,0,10,0,0.9,2892,276,2892,(X),2625,287,90.8,3.9,39,44,1.3,1.5,0,10,0,0.9,243,118,8.4,4.1,0,10,0,0.9,0,10,0,0.9,2892,276,2892,(X),40,37,1.4,1.3,24,26,0.8,0.9,16,27,0.6,0.9,0,10,0,0.9,0,10,0,0.9,2852,274,98.6,1.3,2570,289,88.9,4.4,39,44,1.3,1.5,0,10,0,0.9,228,109,7.9,3.8,0,10,0,0.9,0,10,0,0.9,15,24,0.5,0.8,0,10,0,0.9,15,24,0.5,0.8,2709,86
1400000US42101000500,42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",2267,678,2267,1502,478,66.3,7.5,765,282,33.7,7.5,8,11,0.4,0.5,0,10,0,1.1,9,13,0.4,0.6,39,43,1.7,1.5,382,177,16.9,4.1,1047,348,46.2,7.2,383,191,16.9,5.5,257,128,11.3,5.7,69,44,3,2.3,43,35,1.9,1.6,25,29,1.1,1.3,2,6,0.1,0.3,3,6,0.1,0.3,30.6,2.1,(X),(X),2250,678,99.3,0.8,2151,647,94.9,4.2,45,37,2,1.7,30,33,1.3,1.5,2250,678,2250,(X),1493,478,66.4,7.5,757,281,33.6,7.5,30,33,30,(X),22,31,73.3,50.2,8,11,26.7,50.2,2267,678,2267,(X),2187,688,96.5,2.7,80,54,3.5,2.7,2187,688,96.5,2.7,841,247,37.1,5.2,782,404,34.5,8.5,23,32,1,1.2,0,10,0,1.1,0,10,0,1.1,0,10,0,1.1,0,10,0,1.1,400,143,17.6,7,109,58,4.8,3,215,135,9.5,6.3,10,11,0.4,0.5,7,11,0.3,0.5,33,33,1.5,1.3,20,27,0.9,1.3,6,8,0.3,0.4,0,10,0,1.1,0,10,0,1.1,0,10,0,1.1,0,10,0,1.1,0,10,0,1.1,141,66,6.2,3,80,54,3.5,2.7,19,27,0.8,1.2,14,21,0.6,1,0,10,0,1.1,0,10,0,1.1,2267,678,2267,(X),909,245,40.1,5.8,801,402,35.3,8.2,37,38,1.6,1.5,412,141,18.2,7.1,12,19,0.5,0.9,176,61,7.8,3.1,2267,678,2267,(X),436,143,19.2,2.8,36,41,1.6,2,308,120,13.6,2.9,0,10,0,1.1,92,59,4.1,2.1,1831,553,80.8,2.8,646,187,28.5,5.5,736,382,32.5,8.1,9,21,0.4,0.9,387,143,17.1,6.9,0,10,0,1.1,0,10,0,1.1,53,44,2.3,2,22,26,1,1.2,31,33,1.4,1.6,864,40
1400000US42101000600,42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",1534,316,1534,831,249,54.2,7.4,703,131,45.8,7.4,5,7,0.3,0.5,0,10,0,1.6,0,10,0,1.6,277,176,18.1,8.5,377,124,24.6,5,502,132,32.7,9.5,77,42,5,2.9,161,83,10.5,5.4,36,27,2.3,1.9,85,55,5.5,3.7,3,7,0.2,0.5,4,6,0.3,0.4,7,7,0.5,0.5,26.9,2.7,(X),(X),1524,315,99.3,0.9,1125,165,73.3,13.8,48,28,3.1,1.9,14,10,0.9,0.7,1524,315,1524,(X),826,250,54.2,7.5,698,130,45.8,7.5,14,10,14,(X),3,7,21.4,51.2,11,10,78.6,51.2,1534,316,1534,(X),1503,321,98,2.8,31,41,2,2.8,1503,321,98,2.8,1051,287,68.5,8.2,168,75,11,5.7,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,254,118,16.6,6.4,100,71,6.5,4.6,96,70,6.3,4.2,22,26,1.4,1.7,7,10,0.5,0.7,29,34,1.9,2,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,30,29,2,1.9,31,41,2,2.8,12,17,0.8,1.2,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,1534,316,1534,(X),1082,287,70.5,8.4,180,76,11.7,6,0,10,0,1.6,254,118,16.6,6.4,0,10,0,1.6,49,39,3.2,2.5,1534,316,1534,(X),133,89,8.7,6.1,30,41,2,2.7,27,25,1.8,1.7,5,8,0.3,0.5,71,79,4.6,5.3,1401,323,91.3,6.1,979,288,63.8,9.4,168,75,11,5.7,0,10,0,1.6,254,118,16.6,6.4,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,0,10,0,1.6,746,42
1400000US42101000700,42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",2697,310,2697,1378,225,51.1,6.8,1319,256,48.9,6.8,22,36,0.8,1.3,0,10,0,0.9,0,10,0,0.9,6,6,0.2,0.2,270,87,10,3.3,1128,286,41.8,9.6,254,180,9.4,6.3,249,136,9.2,5,161,90,6,3,157,102,5.8,3.8,347,141,12.9,5,76,47,2.8,1.7,27,32,1,1.2,33.2,3,(X),(X),2675,307,99.2,1.3,2630,305,97.5,1.9,544,182,20.2,6.5,450,159,16.7,5.7,2675,307,2675,(X),1356,213,50.7,6.6,1319,256,49.3,6.6,450,159,450,(X),235,106,52.2,14.8,215,102,47.8,14.8,2697,310,2697,(X),2682,313,99.4,0.9,15,24,0.6,0.9,2682,313,99.4,0.9,1812,284,67.2,9.8,334,222,12.4,8,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,536,236,19.9,7.6,267,188,9.9,6.3,146,83,5.4,3.1,13,21,0.5,0.8,30,34,1.1,1.3,0,10,0,0.9,9,14,0.3,0.5,71,73,2.6,2.6,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,15,24,0.6,0.9,0,10,0,0.9,0,10,0,0.9,0,10,0,0.9,15,24,0.6,0.9,2697,310,2697,(X),1812,284,67.2,9.8,349,225,12.9,8.1,15,24,0.6,0.9,536,236,19.9,7.6,0,10,0,0.9,0,10,0,0.9,2697,310,2697,(X),102,76,3.8,2.8,37,33,1.4,1.2,0,10,0,0.9,21,34,0.8,1.3,44,42,1.6,1.6,2595,311,96.2,2.8,1724,272,63.9,9.4,334,222,12.4,8,0,10,0,0.9,522,234,19.4,7.5,0,10,0,0.9,0,10,0,0.9,15,24,0.6,0.9,0,10,0,0.9,15,24,0.6,0.9,2493,106
1400000US42101000801,42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",1729,195,1729,936,147,54.1,9.1,793,208,45.9,9.1,48,39,2.8,2.3,0,10,0,1.4,12,38,0.7,2.2,36,35,2.1,2,155,165,9,9.2,1074,226,62.1,9.9,126,76,7.3,4.7,131,61,7.6,3.8,30,26,1.7,1.5,7,14,0.4,0.8,87,54,5,3.3,23,33,1.3,1.9,0,10,0,1.4,29.5,1.5,(X),(X),1633,195,94.4,1.9,1633,195,94.4,1.9,117,56,6.8,3.7,110,53,6.4,3.4,1633,195,1633,(X),883,148,54.1,9.5,750,206,45.9,9.5,110,53,110,(X),79,57,71.8,32.9,31,36,28.2,32.9,1729,195,1729,(X),1711,199,99,1.8,18,30,1,1.8,1711,199,99,1.8,1321,260,76.4,11.1,122,114,7.1,6.8,0,10,0,1.4,0,10,0,1.4,0,10,0,1.4,0,10,0,1.4,0,10,0,1.4,210,125,12.1,7.3,87,60,5,3.5,79,91,4.6,5.4,0,10,0,1.4,0,10,0,1.4,0,10,0,1.4,44,47,2.5,2.7,0,10,0,1.4,0,10,0,1.4,0,10,0,1.4,0,10,0,1.4,0,10,0,1.4,0,10,0,1.4,58,65,3.4,3.8,18,30,1,1.8,0,10,0,1.4,0,10,0,1.4,0,10,0,1.4,0,10,0,1.4,1729,195,1729,(X),1321,260,76.4,11.1,122,114,7.1,6.8,0,10,0,1.4,228,131,13.2,7.7,0,10,0,1.4,76,68,4.4,4,1729,195,1729,(X),47,59,2.7,3.5,24,39,1.4,2.3,19,32,1.1,1.9,4,13,0.2,0.7,0,10,0,1.4,1682,210,97.3,3.5,1274,266,73.7,11.4,122,114,7.1,6.8,0,10,0,1.4,210,125,12.1,7.3,0,10,0,1.4,58,65,3.4,3.8,18,30,1,1.8,18,30,1,1.8,0,10,0,1.4,1077,27
1400000US42101000803,42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania",3556,330,3556,1379,238,38.8,5.6,2177,281,61.2,5.6,70,58,2,1.6,0,10,0,0.7,77,76,2.2,2.1,16,28,0.4,0.8,346,159,9.7,4.4,1297,302,36.5,7.8,327,158,9.2,4.5,254,120,7.1,3.4,193,118,5.4,3.3,125,80,3.5,2.3,505,194,14.2,5,315,157,8.9,4.2,31,36,0.9,1,34.5,6.3,(X),(X),3393,312,95.4,2.2,3393,312,95.4,2.2,947,283,26.6,7,851,275,23.9,6.9,3393,312,3393,(X),1349,243,39.8,5.7,2044,255,60.2,5.7,851,275,851,(X),254,139,29.8,11.3,597,185,70.2,11.3,3556,330,3556,(X),3512,322,98.8,1.9,44,67,1.2,1.9,3512,322,98.8,1.9,3125,363,87.9,4.8,16,22,0.4,0.6,106,122,3,3.4,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,265,132,7.5,3.9,136,104,3.8,3,75,63,2.1,1.8,0,10,0,0.7,13,21,0.4,0.6,21,35,0.6,1,0,10,0,0.7,20,32,0.6,0.9,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,44,67,1.2,1.9,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,0,10,0,0.7,3556,330,3556,(X),3125,363,87.9,4.8,16,22,0.4,0.6,106,122,3,3.4,309,135,8.7,3.9,0,10,0,0.7,44,67,1.2,1.9,3556,330,3556,(X),45,72,1.3,2,0,10,0,0.7,45,72,1.3,2,0,10,0,0.7,0,10,0,0.7,3511,327,98.7,2,3080,358,86.6,5,16,22,0.4,0.6,106,122,3,3.4,265,132,7.5,3.9,0,10,0,0.7,0,10,0,0.7,44,67,1.2,1.9,44,67,1.2,1.9,0,10,0,0.7,2798,123
